,algo,cv fold,metric,value
110,GaussianNB,0,score_time,46.4085009098053
111,GaussianNB,1,score_time,45.44790077209473
112,GaussianNB,2,score_time,48.96128034591675
113,GaussianNB,3,score_time,48.60064935684204
114,GaussianNB,4,score_time,49.8879611492157
115,GaussianNB,0,test_precision,0.5277777777777778
116,GaussianNB,1,test_precision,0.5252525252525253
117,GaussianNB,2,test_precision,0.5048543689320388
118,GaussianNB,3,test_precision,0.4791666666666667
119,GaussianNB,4,test_precision,0.5192307692307693
120,GaussianNB,0,test_recall,0.8507462686567164
121,GaussianNB,1,test_recall,0.7761194029850746
122,GaussianNB,2,test_recall,0.7761194029850746
123,GaussianNB,3,test_recall,0.696969696969697
124,GaussianNB,4,test_recall,0.8181818181818182
125,GaussianNB,0,test_accuracy,0.5307692307692308
126,GaussianNB,1,test_accuracy,0.5193798449612403
127,GaussianNB,2,test_accuracy,0.4883720930232558
128,GaussianNB,3,test_accuracy,0.4573643410852713
129,GaussianNB,4,test_accuracy,0.5193798449612403
130,GaussianNB,0,test_f1,0.6514285714285716
131,GaussianNB,1,test_f1,0.6265060240963856
132,GaussianNB,2,test_f1,0.611764705882353
133,GaussianNB,3,test_f1,0.5679012345679013
134,GaussianNB,4,test_f1,0.6352941176470589
135,GaussianNB,0,test_roc_auc,0.5206112295664534
136,GaussianNB,1,test_roc_auc,0.5090274434280212
137,GaussianNB,2,test_roc_auc,0.47676937891189214
138,GaussianNB,3,test_roc_auc,0.4516594516594517
139,GaussianNB,4,test_roc_auc,0.5122655122655123
140,SVM/Linear SVC,0,fit_time,109.30971217155457
141,SVM/Linear SVC,1,fit_time,109.35968375205994
142,SVM/Linear SVC,2,fit_time,106.94870901107788
143,SVM/Linear SVC,3,fit_time,104.98611569404602
144,SVM/Linear SVC,4,fit_time,108.20688915252686
145,SVM/Linear SVC,0,score_time,0.0
146,SVM/Linear SVC,1,score_time,0.0
147,SVM/Linear SVC,2,score_time,0.0
148,SVM/Linear SVC,3,score_time,0.0
149,SVM/Linear SVC,4,score_time,0.0
150,SVM/Linear SVC,0,test_precision,
151,SVM/Linear SVC,1,test_precision,
152,SVM/Linear SVC,2,test_precision,
153,SVM/Linear SVC,3,test_precision,
154,SVM/Linear SVC,4,test_precision,
155,SVM/Linear SVC,0,test_recall,
156,SVM/Linear SVC,1,test_recall,
157,SVM/Linear SVC,2,test_recall,
158,SVM/Linear SVC,3,test_recall,
159,SVM/Linear SVC,4,test_recall,
