,subject,session,task,check,path,confounds_path,path,confounds_path
91,9013,1,rest,TRUE,sub-9013/ses-1/func/sub-9013_ses-1_task-rest,sub-9013/ses-1/func/sub-9013_ses-1_task-rest,sub-9013/ses-1/func/sub-9013_ses-1_task-rest,sub-9013/ses-1/func/sub-9013_ses-1_task-rest
90,9013,1,sleepiness,TRUE,sub-9013/ses-1/func/sub-9013_ses-1_task-sleepiness,sub-9013/ses-1/func/sub-9013_ses-1_task-sleepiness,sub-9013/ses-1/func/sub-9013_ses-1_task-sleepiness,sub-9013/ses-1/func/sub-9013_ses-1_task-sleepiness
88,9013,2,arrows,TRUE,sub-9013/ses-2/func/sub-9013_ses-2_task-arrows,sub-9013/ses-2/func/sub-9013_ses-2_task-arrows,sub-9013/ses-2/func/sub-9013_ses-2_task-arrows,sub-9013/ses-2/func/sub-9013_ses-2_task-arrows
89,9013,2,faces,TRUE,sub-9013/ses-2/func/sub-9013_ses-2_task-faces,sub-9013/ses-2/func/sub-9013_ses-2_task-faces,sub-9013/ses-2/func/sub-9013_ses-2_task-faces,sub-9013/ses-2/func/sub-9013_ses-2_task-faces
87,9013,2,hands,TRUE,sub-9013/ses-2/func/sub-9013_ses-2_task-hands,sub-9013/ses-2/func/sub-9013_ses-2_task-hands,sub-9013/ses-2/func/sub-9013_ses-2_task-hands,sub-9013/ses-2/func/sub-9013_ses-2_task-hands
85,9013,2,rest,TRUE,sub-9013/ses-2/func/sub-9013_ses-2_task-rest,sub-9013/ses-2/func/sub-9013_ses-2_task-rest,sub-9013/ses-2/func/sub-9013_ses-2_task-rest,sub-9013/ses-2/func/sub-9013_ses-2_task-rest
86,9013,2,sleepiness,TRUE,sub-9013/ses-2/func/sub-9013_ses-2_task-sleepiness,sub-9013/ses-2/func/sub-9013_ses-2_task-sleepiness,sub-9013/ses-2/func/sub-9013_ses-2_task-sleepiness,sub-9013/ses-2/func/sub-9013_ses-2_task-sleepiness
378,9014,1,arrows,TRUE,sub-9014/ses-1/func/sub-9014_ses-1_task-arrows,sub-9014/ses-1/func/sub-9014_ses-1_task-arrows,sub-9014/ses-1/func/sub-9014_ses-1_task-arrows,sub-9014/ses-1/func/sub-9014_ses-1_task-arrows
377,9014,1,faces,TRUE,sub-9014/ses-1/func/sub-9014_ses-1_task-faces,sub-9014/ses-1/func/sub-9014_ses-1_task-faces,sub-9014/ses-1/func/sub-9014_ses-1_task-faces,sub-9014/ses-1/func/sub-9014_ses-1_task-faces
381,9014,1,hands,TRUE,sub-9014/ses-1/func/sub-9014_ses-1_task-hands,sub-9014/ses-1/func/sub-9014_ses-1_task-hands,sub-9014/ses-1/func/sub-9014_ses-1_task-hands,sub-9014/ses-1/func/sub-9014_ses-1_task-hands
380,9014,1,rest,TRUE,sub-9014/ses-1/func/sub-9014_ses-1_task-rest,sub-9014/ses-1/func/sub-9014_ses-1_task-rest,sub-9014/ses-1/func/sub-9014_ses-1_task-rest,sub-9014/ses-1/func/sub-9014_ses-1_task-rest
379,9014,1,sleepiness,TRUE,sub-9014/ses-1/func/sub-9014_ses-1_task-sleepiness,sub-9014/ses-1/func/sub-9014_ses-1_task-sleepiness,sub-9014/ses-1/func/sub-9014_ses-1_task-sleepiness,sub-9014/ses-1/func/sub-9014_ses-1_task-sleepiness
376,9014,2,arrows,TRUE,sub-9014/ses-2/func/sub-9014_ses-2_task-arrows,sub-9014/ses-2/func/sub-9014_ses-2_task-arrows,sub-9014/ses-2/func/sub-9014_ses-2_task-arrows,sub-9014/ses-2/func/sub-9014_ses-2_task-arrows
375,9014,2,faces,TRUE,sub-9014/ses-2/func/sub-9014_ses-2_task-faces,sub-9014/ses-2/func/sub-9014_ses-2_task-faces,sub-9014/ses-2/func/sub-9014_ses-2_task-faces,sub-9014/ses-2/func/sub-9014_ses-2_task-faces
372,9014,2,hands,TRUE,sub-9014/ses-2/func/sub-9014_ses-2_task-hands,sub-9014/ses-2/func/sub-9014_ses-2_task-hands,sub-9014/ses-2/func/sub-9014_ses-2_task-hands,sub-9014/ses-2/func/sub-9014_ses-2_task-hands
373,9014,2,rest,TRUE,sub-9014/ses-2/func/sub-9014_ses-2_task-rest,sub-9014/ses-2/func/sub-9014_ses-2_task-rest,sub-9014/ses-2/func/sub-9014_ses-2_task-rest,sub-9014/ses-2/func/sub-9014_ses-2_task-rest
374,9014,2,sleepiness,TRUE,sub-9014/ses-2/func/sub-9014_ses-2_task-sleepiness,sub-9014/ses-2/func/sub-9014_ses-2_task-sleepiness,sub-9014/ses-2/func/sub-9014_ses-2_task-sleepiness,sub-9014/ses-2/func/sub-9014_ses-2_task-sleepiness
300,9016,1,arrows,TRUE,sub-9016/ses-1/func/sub-9016_ses-1_task-arrows,sub-9016/ses-1/func/sub-9016_ses-1_task-arrows,sub-9016/ses-1/func/sub-9016_ses-1_task-arrows,sub-9016/ses-1/func/sub-9016_ses-1_task-arrows
297,9016,1,faces,TRUE,sub-9016/ses-1/func/sub-9016_ses-1_task-faces,sub-9016/ses-1/func/sub-9016_ses-1_task-faces,sub-9016/ses-1/func/sub-9016_ses-1_task-faces,sub-9016/ses-1/func/sub-9016_ses-1_task-faces
299,9016,1,hands,TRUE,sub-9016/ses-1/func/sub-9016_ses-1_task-hands,sub-9016/ses-1/func/sub-9016_ses-1_task-hands,sub-9016/ses-1/func/sub-9016_ses-1_task-hands,sub-9016/ses-1/func/sub-9016_ses-1_task-hands
296,9016,1,rest,TRUE,sub-9016/ses-1/func/sub-9016_ses-1_task-rest,sub-9016/ses-1/func/sub-9016_ses-1_task-rest,sub-9016/ses-1/func/sub-9016_ses-1_task-rest,sub-9016/ses-1/func/sub-9016_ses-1_task-rest
298,9016,1,sleepiness,TRUE,sub-9016/ses-1/func/sub-9016_ses-1_task-sleepiness,sub-9016/ses-1/func/sub-9016_ses-1_task-sleepiness,sub-9016/ses-1/func/sub-9016_ses-1_task-sleepiness,sub-9016/ses-1/func/sub-9016_ses-1_task-sleepiness
63,9017,1,arrows,TRUE,sub-9017/ses-1/func/sub-9017_ses-1_task-arrows,sub-9017/ses-1/func/sub-9017_ses-1_task-arrows,sub-9017/ses-1/func/sub-9017_ses-1_task-arrows,sub-9017/ses-1/func/sub-9017_ses-1_task-arrows
61,9017,1,faces,TRUE,sub-9017/ses-1/func/sub-9017_ses-1_task-faces,sub-9017/ses-1/func/sub-9017_ses-1_task-faces,sub-9017/ses-1/func/sub-9017_ses-1_task-faces,sub-9017/ses-1/func/sub-9017_ses-1_task-faces
60,9017,1,hands,TRUE,sub-9017/ses-1/func/sub-9017_ses-1_task-hands,sub-9017/ses-1/func/sub-9017_ses-1_task-hands,sub-9017/ses-1/func/sub-9017_ses-1_task-hands,sub-9017/ses-1/func/sub-9017_ses-1_task-hands
62,9017,1,rest,TRUE,sub-9017/ses-1/func/sub-9017_ses-1_task-rest,sub-9017/ses-1/func/sub-9017_ses-1_task-rest,sub-9017/ses-1/func/sub-9017_ses-1_task-rest,sub-9017/ses-1/func/sub-9017_ses-1_task-rest
64,9017,1,sleepiness,TRUE,sub-9017/ses-1/func/sub-9017_ses-1_task-sleepiness,sub-9017/ses-1/func/sub-9017_ses-1_task-sleepiness,sub-9017/ses-1/func/sub-9017_ses-1_task-sleepiness,sub-9017/ses-1/func/sub-9017_ses-1_task-sleepiness
55,9017,2,arrows,TRUE,sub-9017/ses-2/func/sub-9017_ses-2_task-arrows,sub-9017/ses-2/func/sub-9017_ses-2_task-arrows,sub-9017/ses-2/func/sub-9017_ses-2_task-arrows,sub-9017/ses-2/func/sub-9017_ses-2_task-arrows
58,9017,2,faces,TRUE,sub-9017/ses-2/func/sub-9017_ses-2_task-faces,sub-9017/ses-2/func/sub-9017_ses-2_task-faces,sub-9017/ses-2/func/sub-9017_ses-2_task-faces,sub-9017/ses-2/func/sub-9017_ses-2_task-faces
57,9017,2,hands,TRUE,sub-9017/ses-2/func/sub-9017_ses-2_task-hands,sub-9017/ses-2/func/sub-9017_ses-2_task-hands,sub-9017/ses-2/func/sub-9017_ses-2_task-hands,sub-9017/ses-2/func/sub-9017_ses-2_task-hands
59,9017,2,rest,TRUE,sub-9017/ses-2/func/sub-9017_ses-2_task-rest,sub-9017/ses-2/func/sub-9017_ses-2_task-rest,sub-9017/ses-2/func/sub-9017_ses-2_task-rest,sub-9017/ses-2/func/sub-9017_ses-2_task-rest
56,9017,2,sleepiness,TRUE,sub-9017/ses-2/func/sub-9017_ses-2_task-sleepiness,sub-9017/ses-2/func/sub-9017_ses-2_task-sleepiness,sub-9017/ses-2/func/sub-9017_ses-2_task-sleepiness,sub-9017/ses-2/func/sub-9017_ses-2_task-sleepiness
349,9018,1,arrows,TRUE,sub-9018/ses-1/func/sub-9018_ses-1_task-arrows,sub-9018/ses-1/func/sub-9018_ses-1_task-arrows,sub-9018/ses-1/func/sub-9018_ses-1_task-arrows,sub-9018/ses-1/func/sub-9018_ses-1_task-arrows
347,9018,1,faces,TRUE,sub-9018/ses-1/func/sub-9018_ses-1_task-faces,sub-9018/ses-1/func/sub-9018_ses-1_task-faces,sub-9018/ses-1/func/sub-9018_ses-1_task-faces,sub-9018/ses-1/func/sub-9018_ses-1_task-faces
351,9018,1,hands,TRUE,sub-9018/ses-1/func/sub-9018_ses-1_task-hands,sub-9018/ses-1/func/sub-9018_ses-1_task-hands,sub-9018/ses-1/func/sub-9018_ses-1_task-hands,sub-9018/ses-1/func/sub-9018_ses-1_task-hands
348,9018,1,rest,TRUE,sub-9018/ses-1/func/sub-9018_ses-1_task-rest,sub-9018/ses-1/func/sub-9018_ses-1_task-rest,sub-9018/ses-1/func/sub-9018_ses-1_task-rest,sub-9018/ses-1/func/sub-9018_ses-1_task-rest
350,9018,1,sleepiness,TRUE,sub-9018/ses-1/func/sub-9018_ses-1_task-sleepiness,sub-9018/ses-1/func/sub-9018_ses-1_task-sleepiness,sub-9018/ses-1/func/sub-9018_ses-1_task-sleepiness,sub-9018/ses-1/func/sub-9018_ses-1_task-sleepiness
343,9018,2,arrows,TRUE,sub-9018/ses-2/func/sub-9018_ses-2_task-arrows,sub-9018/ses-2/func/sub-9018_ses-2_task-arrows,sub-9018/ses-2/func/sub-9018_ses-2_task-arrows,sub-9018/ses-2/func/sub-9018_ses-2_task-arrows
345,9018,2,faces,TRUE,sub-9018/ses-2/func/sub-9018_ses-2_task-faces,sub-9018/ses-2/func/sub-9018_ses-2_task-faces,sub-9018/ses-2/func/sub-9018_ses-2_task-faces,sub-9018/ses-2/func/sub-9018_ses-2_task-faces
342,9018,2,hands,TRUE,sub-9018/ses-2/func/sub-9018_ses-2_task-hands,sub-9018/ses-2/func/sub-9018_ses-2_task-hands,sub-9018/ses-2/func/sub-9018_ses-2_task-hands,sub-9018/ses-2/func/sub-9018_ses-2_task-hands
346,9018,2,rest,TRUE,sub-9018/ses-2/func/sub-9018_ses-2_task-rest,sub-9018/ses-2/func/sub-9018_ses-2_task-rest,sub-9018/ses-2/func/sub-9018_ses-2_task-rest,sub-9018/ses-2/func/sub-9018_ses-2_task-rest
344,9018,2,sleepiness,TRUE,sub-9018/ses-2/func/sub-9018_ses-2_task-sleepiness,sub-9018/ses-2/func/sub-9018_ses-2_task-sleepiness,sub-9018/ses-2/func/sub-9018_ses-2_task-sleepiness,sub-9018/ses-2/func/sub-9018_ses-2_task-sleepiness
588,9019,1,arrows,TRUE,sub-9019/ses-1/func/sub-9019_ses-1_task-arrows,sub-9019/ses-1/func/sub-9019_ses-1_task-arrows,sub-9019/ses-1/func/sub-9019_ses-1_task-arrows,sub-9019/ses-1/func/sub-9019_ses-1_task-arrows
591,9019,1,faces,TRUE,sub-9019/ses-1/func/sub-9019_ses-1_task-faces,sub-9019/ses-1/func/sub-9019_ses-1_task-faces,sub-9019/ses-1/func/sub-9019_ses-1_task-faces,sub-9019/ses-1/func/sub-9019_ses-1_task-faces
589,9019,1,hands,TRUE,sub-9019/ses-1/func/sub-9019_ses-1_task-hands,sub-9019/ses-1/func/sub-9019_ses-1_task-hands,sub-9019/ses-1/func/sub-9019_ses-1_task-hands,sub-9019/ses-1/func/sub-9019_ses-1_task-hands
590,9019,1,rest,TRUE,sub-9019/ses-1/func/sub-9019_ses-1_task-rest,sub-9019/ses-1/func/sub-9019_ses-1_task-rest,sub-9019/ses-1/func/sub-9019_ses-1_task-rest,sub-9019/ses-1/func/sub-9019_ses-1_task-rest
587,9019,1,sleepiness,TRUE,sub-9019/ses-1/func/sub-9019_ses-1_task-sleepiness,sub-9019/ses-1/func/sub-9019_ses-1_task-sleepiness,sub-9019/ses-1/func/sub-9019_ses-1_task-sleepiness,sub-9019/ses-1/func/sub-9019_ses-1_task-sleepiness
585,9019,2,arrows,TRUE,sub-9019/ses-2/func/sub-9019_ses-2_task-arrows,sub-9019/ses-2/func/sub-9019_ses-2_task-arrows,sub-9019/ses-2/func/sub-9019_ses-2_task-arrows,sub-9019/ses-2/func/sub-9019_ses-2_task-arrows
582,9019,2,faces,TRUE,sub-9019/ses-2/func/sub-9019_ses-2_task-faces,sub-9019/ses-2/func/sub-9019_ses-2_task-faces,sub-9019/ses-2/func/sub-9019_ses-2_task-faces,sub-9019/ses-2/func/sub-9019_ses-2_task-faces
583,9019,2,hands,TRUE,sub-9019/ses-2/func/sub-9019_ses-2_task-hands,sub-9019/ses-2/func/sub-9019_ses-2_task-hands,sub-9019/ses-2/func/sub-9019_ses-2_task-hands,sub-9019/ses-2/func/sub-9019_ses-2_task-hands
586,9019,2,rest,TRUE,sub-9019/ses-2/func/sub-9019_ses-2_task-rest,sub-9019/ses-2/func/sub-9019_ses-2_task-rest,sub-9019/ses-2/func/sub-9019_ses-2_task-rest,sub-9019/ses-2/func/sub-9019_ses-2_task-rest
584,9019,2,sleepiness,TRUE,sub-9019/ses-2/func/sub-9019_ses-2_task-sleepiness,sub-9019/ses-2/func/sub-9019_ses-2_task-sleepiness,sub-9019/ses-2/func/sub-9019_ses-2_task-sleepiness,sub-9019/ses-2/func/sub-9019_ses-2_task-sleepiness
550,9020,1,arrows,TRUE,sub-9020/ses-1/func/sub-9020_ses-1_task-arrows,sub-9020/ses-1/func/sub-9020_ses-1_task-arrows,sub-9020/ses-1/func/sub-9020_ses-1_task-arrows,sub-9020/ses-1/func/sub-9020_ses-1_task-arrows
548,9020,1,faces,TRUE,sub-9020/ses-1/func/sub-9020_ses-1_task-faces,sub-9020/ses-1/func/sub-9020_ses-1_task-faces,sub-9020/ses-1/func/sub-9020_ses-1_task-faces,sub-9020/ses-1/func/sub-9020_ses-1_task-faces
551,9020,1,hands,TRUE,sub-9020/ses-1/func/sub-9020_ses-1_task-hands,sub-9020/ses-1/func/sub-9020_ses-1_task-hands,sub-9020/ses-1/func/sub-9020_ses-1_task-hands,sub-9020/ses-1/func/sub-9020_ses-1_task-hands
549,9020,1,rest,TRUE,sub-9020/ses-1/func/sub-9020_ses-1_task-rest,sub-9020/ses-1/func/sub-9020_ses-1_task-rest,sub-9020/ses-1/func/sub-9020_ses-1_task-rest,sub-9020/ses-1/func/sub-9020_ses-1_task-rest
547,9020,1,sleepiness,TRUE,sub-9020/ses-1/func/sub-9020_ses-1_task-sleepiness,sub-9020/ses-1/func/sub-9020_ses-1_task-sleepiness,sub-9020/ses-1/func/sub-9020_ses-1_task-sleepiness,sub-9020/ses-1/func/sub-9020_ses-1_task-sleepiness
546,9020,2,arrows,TRUE,sub-9020/ses-2/func/sub-9020_ses-2_task-arrows,sub-9020/ses-2/func/sub-9020_ses-2_task-arrows,sub-9020/ses-2/func/sub-9020_ses-2_task-arrows,sub-9020/ses-2/func/sub-9020_ses-2_task-arrows
544,9020,2,faces,TRUE,sub-9020/ses-2/func/sub-9020_ses-2_task-faces,sub-9020/ses-2/func/sub-9020_ses-2_task-faces,sub-9020/ses-2/func/sub-9020_ses-2_task-faces,sub-9020/ses-2/func/sub-9020_ses-2_task-faces
543,9020,2,hands,TRUE,sub-9020/ses-2/func/sub-9020_ses-2_task-hands,sub-9020/ses-2/func/sub-9020_ses-2_task-hands,sub-9020/ses-2/func/sub-9020_ses-2_task-hands,sub-9020/ses-2/func/sub-9020_ses-2_task-hands
542,9020,2,rest,TRUE,sub-9020/ses-2/func/sub-9020_ses-2_task-rest,sub-9020/ses-2/func/sub-9020_ses-2_task-rest,sub-9020/ses-2/func/sub-9020_ses-2_task-rest,sub-9020/ses-2/func/sub-9020_ses-2_task-rest
545,9020,2,sleepiness,TRUE,sub-9020/ses-2/func/sub-9020_ses-2_task-sleepiness,sub-9020/ses-2/func/sub-9020_ses-2_task-sleepiness,sub-9020/ses-2/func/sub-9020_ses-2_task-sleepiness,sub-9020/ses-2/func/sub-9020_ses-2_task-sleepiness
643,9022,1,arrows,TRUE,sub-9022/ses-1/func/sub-9022_ses-1_task-arrows,sub-9022/ses-1/func/sub-9022_ses-1_task-arrows,sub-9022/ses-1/func/sub-9022_ses-1_task-arrows,sub-9022/ses-1/func/sub-9022_ses-1_task-arrows
644,9022,1,faces,TRUE,sub-9022/ses-1/func/sub-9022_ses-1_task-faces,sub-9022/ses-1/func/sub-9022_ses-1_task-faces,sub-9022/ses-1/func/sub-9022_ses-1_task-faces,sub-9022/ses-1/func/sub-9022_ses-1_task-faces
646,9022,1,hands,TRUE,sub-9022/ses-1/func/sub-9022_ses-1_task-hands,sub-9022/ses-1/func/sub-9022_ses-1_task-hands,sub-9022/ses-1/func/sub-9022_ses-1_task-hands,sub-9022/ses-1/func/sub-9022_ses-1_task-hands
645,9022,1,rest,TRUE,sub-9022/ses-1/func/sub-9022_ses-1_task-rest,sub-9022/ses-1/func/sub-9022_ses-1_task-rest,sub-9022/ses-1/func/sub-9022_ses-1_task-rest,sub-9022/ses-1/func/sub-9022_ses-1_task-rest
642,9022,1,sleepiness,TRUE,sub-9022/ses-1/func/sub-9022_ses-1_task-sleepiness,sub-9022/ses-1/func/sub-9022_ses-1_task-sleepiness,sub-9022/ses-1/func/sub-9022_ses-1_task-sleepiness,sub-9022/ses-1/func/sub-9022_ses-1_task-sleepiness
665,9023,1,arrows,TRUE,sub-9023/ses-1/func/sub-9023_ses-1_task-arrows,sub-9023/ses-1/func/sub-9023_ses-1_task-arrows,sub-9023/ses-1/func/sub-9023_ses-1_task-arrows,sub-9023/ses-1/func/sub-9023_ses-1_task-arrows
666,9023,1,faces,TRUE,sub-9023/ses-1/func/sub-9023_ses-1_task-faces,sub-9023/ses-1/func/sub-9023_ses-1_task-faces,sub-9023/ses-1/func/sub-9023_ses-1_task-faces,sub-9023/ses-1/func/sub-9023_ses-1_task-faces
662,9023,1,hands,TRUE,sub-9023/ses-1/func/sub-9023_ses-1_task-hands,sub-9023/ses-1/func/sub-9023_ses-1_task-hands,sub-9023/ses-1/func/sub-9023_ses-1_task-hands,sub-9023/ses-1/func/sub-9023_ses-1_task-hands
664,9023,1,rest,TRUE,sub-9023/ses-1/func/sub-9023_ses-1_task-rest,sub-9023/ses-1/func/sub-9023_ses-1_task-rest,sub-9023/ses-1/func/sub-9023_ses-1_task-rest,sub-9023/ses-1/func/sub-9023_ses-1_task-rest
663,9023,1,sleepiness,TRUE,sub-9023/ses-1/func/sub-9023_ses-1_task-sleepiness,sub-9023/ses-1/func/sub-9023_ses-1_task-sleepiness,sub-9023/ses-1/func/sub-9023_ses-1_task-sleepiness,sub-9023/ses-1/func/sub-9023_ses-1_task-sleepiness
658,9023,2,arrows,TRUE,sub-9023/ses-2/func/sub-9023_ses-2_task-arrows,sub-9023/ses-2/func/sub-9023_ses-2_task-arrows,sub-9023/ses-2/func/sub-9023_ses-2_task-arrows,sub-9023/ses-2/func/sub-9023_ses-2_task-arrows
660,9023,2,faces,TRUE,sub-9023/ses-2/func/sub-9023_ses-2_task-faces,sub-9023/ses-2/func/sub-9023_ses-2_task-faces,sub-9023/ses-2/func/sub-9023_ses-2_task-faces,sub-9023/ses-2/func/sub-9023_ses-2_task-faces
661,9023,2,hands,TRUE,sub-9023/ses-2/func/sub-9023_ses-2_task-hands,sub-9023/ses-2/func/sub-9023_ses-2_task-hands,sub-9023/ses-2/func/sub-9023_ses-2_task-hands,sub-9023/ses-2/func/sub-9023_ses-2_task-hands
659,9023,2,rest,TRUE,sub-9023/ses-2/func/sub-9023_ses-2_task-rest,sub-9023/ses-2/func/sub-9023_ses-2_task-rest,sub-9023/ses-2/func/sub-9023_ses-2_task-rest,sub-9023/ses-2/func/sub-9023_ses-2_task-rest
657,9023,2,sleepiness,TRUE,sub-9023/ses-2/func/sub-9023_ses-2_task-sleepiness,sub-9023/ses-2/func/sub-9023_ses-2_task-sleepiness,sub-9023/ses-2/func/sub-9023_ses-2_task-sleepiness,sub-9023/ses-2/func/sub-9023_ses-2_task-sleepiness
320,9025,1,faces,TRUE,sub-9025/ses-1/func/sub-9025_ses-1_task-faces,sub-9025/ses-1/func/sub-9025_ses-1_task-faces,sub-9025/ses-1/func/sub-9025_ses-1_task-faces,sub-9025/ses-1/func/sub-9025_ses-1_task-faces
319,9025,1,hands,TRUE,sub-9025/ses-1/func/sub-9025_ses-1_task-hands,sub-9025/ses-1/func/sub-9025_ses-1_task-hands,sub-9025/ses-1/func/sub-9025_ses-1_task-hands,sub-9025/ses-1/func/sub-9025_ses-1_task-hands
321,9025,1,rest,TRUE,sub-9025/ses-1/func/sub-9025_ses-1_task-rest,sub-9025/ses-1/func/sub-9025_ses-1_task-rest,sub-9025/ses-1/func/sub-9025_ses-1_task-rest,sub-9025/ses-1/func/sub-9025_ses-1_task-rest
318,9025,2,faces,TRUE,sub-9025/ses-2/func/sub-9025_ses-2_task-faces,sub-9025/ses-2/func/sub-9025_ses-2_task-faces,sub-9025/ses-2/func/sub-9025_ses-2_task-faces,sub-9025/ses-2/func/sub-9025_ses-2_task-faces
317,9025,2,hands,TRUE,sub-9025/ses-2/func/sub-9025_ses-2_task-hands,sub-9025/ses-2/func/sub-9025_ses-2_task-hands,sub-9025/ses-2/func/sub-9025_ses-2_task-hands,sub-9025/ses-2/func/sub-9025_ses-2_task-hands
316,9025,2,rest,TRUE,sub-9025/ses-2/func/sub-9025_ses-2_task-rest,sub-9025/ses-2/func/sub-9025_ses-2_task-rest,sub-9025/ses-2/func/sub-9025_ses-2_task-rest,sub-9025/ses-2/func/sub-9025_ses-2_task-rest
507,9026,1,arrows,TRUE,sub-9026/ses-1/func/sub-9026_ses-1_task-arrows,sub-9026/ses-1/func/sub-9026_ses-1_task-arrows,sub-9026/ses-1/func/sub-9026_ses-1_task-arrows,sub-9026/ses-1/func/sub-9026_ses-1_task-arrows
508,9026,1,faces,TRUE,sub-9026/ses-1/func/sub-9026_ses-1_task-faces,sub-9026/ses-1/func/sub-9026_ses-1_task-faces,sub-9026/ses-1/func/sub-9026_ses-1_task-faces,sub-9026/ses-1/func/sub-9026_ses-1_task-faces
509,9026,1,hands,TRUE,sub-9026/ses-1/func/sub-9026_ses-1_task-hands,sub-9026/ses-1/func/sub-9026_ses-1_task-hands,sub-9026/ses-1/func/sub-9026_ses-1_task-hands,sub-9026/ses-1/func/sub-9026_ses-1_task-hands
511,9026,1,rest,TRUE,sub-9026/ses-1/func/sub-9026_ses-1_task-rest,sub-9026/ses-1/func/sub-9026_ses-1_task-rest,sub-9026/ses-1/func/sub-9026_ses-1_task-rest,sub-9026/ses-1/func/sub-9026_ses-1_task-rest
510,9026,1,sleepiness,TRUE,sub-9026/ses-1/func/sub-9026_ses-1_task-sleepiness,sub-9026/ses-1/func/sub-9026_ses-1_task-sleepiness,sub-9026/ses-1/func/sub-9026_ses-1_task-sleepiness,sub-9026/ses-1/func/sub-9026_ses-1_task-sleepiness
502,9026,2,arrows,TRUE,sub-9026/ses-2/func/sub-9026_ses-2_task-arrows,sub-9026/ses-2/func/sub-9026_ses-2_task-arrows,sub-9026/ses-2/func/sub-9026_ses-2_task-arrows,sub-9026/ses-2/func/sub-9026_ses-2_task-arrows
505,9026,2,faces,TRUE,sub-9026/ses-2/func/sub-9026_ses-2_task-faces,sub-9026/ses-2/func/sub-9026_ses-2_task-faces,sub-9026/ses-2/func/sub-9026_ses-2_task-faces,sub-9026/ses-2/func/sub-9026_ses-2_task-faces
503,9026,2,hands,TRUE,sub-9026/ses-2/func/sub-9026_ses-2_task-hands,sub-9026/ses-2/func/sub-9026_ses-2_task-hands,sub-9026/ses-2/func/sub-9026_ses-2_task-hands,sub-9026/ses-2/func/sub-9026_ses-2_task-hands
504,9026,2,rest,TRUE,sub-9026/ses-2/func/sub-9026_ses-2_task-rest,sub-9026/ses-2/func/sub-9026_ses-2_task-rest,sub-9026/ses-2/func/sub-9026_ses-2_task-rest,sub-9026/ses-2/func/sub-9026_ses-2_task-rest
506,9026,2,sleepiness,TRUE,sub-9026/ses-2/func/sub-9026_ses-2_task-sleepiness,sub-9026/ses-2/func/sub-9026_ses-2_task-sleepiness,sub-9026/ses-2/func/sub-9026_ses-2_task-sleepiness,sub-9026/ses-2/func/sub-9026_ses-2_task-sleepiness
541,9028,1,arrows,TRUE,sub-9028/ses-1/func/sub-9028_ses-1_task-arrows,sub-9028/ses-1/func/sub-9028_ses-1_task-arrows,sub-9028/ses-1/func/sub-9028_ses-1_task-arrows,sub-9028/ses-1/func/sub-9028_ses-1_task-arrows
540,9028,1,faces,TRUE,sub-9028/ses-1/func/sub-9028_ses-1_task-faces,sub-9028/ses-1/func/sub-9028_ses-1_task-faces,sub-9028/ses-1/func/sub-9028_ses-1_task-faces,sub-9028/ses-1/func/sub-9028_ses-1_task-faces
539,9028,1,hands,TRUE,sub-9028/ses-1/func/sub-9028_ses-1_task-hands,sub-9028/ses-1/func/sub-9028_ses-1_task-hands,sub-9028/ses-1/func/sub-9028_ses-1_task-hands,sub-9028/ses-1/func/sub-9028_ses-1_task-hands
538,9028,1,rest,TRUE,sub-9028/ses-1/func/sub-9028_ses-1_task-rest,sub-9028/ses-1/func/sub-9028_ses-1_task-rest,sub-9028/ses-1/func/sub-9028_ses-1_task-rest,sub-9028/ses-1/func/sub-9028_ses-1_task-rest
537,9028,1,sleepiness,TRUE,sub-9028/ses-1/func/sub-9028_ses-1_task-sleepiness,sub-9028/ses-1/func/sub-9028_ses-1_task-sleepiness,sub-9028/ses-1/func/sub-9028_ses-1_task-sleepiness,sub-9028/ses-1/func/sub-9028_ses-1_task-sleepiness
534,9028,2,arrows,TRUE,sub-9028/ses-2/func/sub-9028_ses-2_task-arrows,sub-9028/ses-2/func/sub-9028_ses-2_task-arrows,sub-9028/ses-2/func/sub-9028_ses-2_task-arrows,sub-9028/ses-2/func/sub-9028_ses-2_task-arrows
533,9028,2,faces,TRUE,sub-9028/ses-2/func/sub-9028_ses-2_task-faces,sub-9028/ses-2/func/sub-9028_ses-2_task-faces,sub-9028/ses-2/func/sub-9028_ses-2_task-faces,sub-9028/ses-2/func/sub-9028_ses-2_task-faces
532,9028,2,hands,TRUE,sub-9028/ses-2/func/sub-9028_ses-2_task-hands,sub-9028/ses-2/func/sub-9028_ses-2_task-hands,sub-9028/ses-2/func/sub-9028_ses-2_task-hands,sub-9028/ses-2/func/sub-9028_ses-2_task-hands
535,9028,2,rest,TRUE,sub-9028/ses-2/func/sub-9028_ses-2_task-rest,sub-9028/ses-2/func/sub-9028_ses-2_task-rest,sub-9028/ses-2/func/sub-9028_ses-2_task-rest,sub-9028/ses-2/func/sub-9028_ses-2_task-rest
536,9028,2,sleepiness,TRUE,sub-9028/ses-2/func/sub-9028_ses-2_task-sleepiness,sub-9028/ses-2/func/sub-9028_ses-2_task-sleepiness,sub-9028/ses-2/func/sub-9028_ses-2_task-sleepiness,sub-9028/ses-2/func/sub-9028_ses-2_task-sleepiness
