,path,filename,dimensions
16,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9070/ses-1/func/sub-9070_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9070_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(87, 103, 65, 192)"
17,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9070/ses-1/func/sub-9070_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9070_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 342)"
18,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9070/ses-1/func/sub-9070_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9070_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 202)"
19,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9070/ses-1/func/sub-9070_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9070_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 158)"
20,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-2/func/sub-9088_ses-2_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-2_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 184)"
21,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-2/func/sub-9088_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(87, 103, 65, 200)"
22,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-2/func/sub-9088_ses-2_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-2_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 359)"
23,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-2/func/sub-9088_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 154)"
24,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-2/func/sub-9088_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(87, 103, 65, 192)"
25,/external/rprshnas01/netdata_kcni/edlab/ds000201_preproc/data/derived/fmriprep/sub-9088/ses-1/func/sub-9088_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9088_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,"(113, 134, 81, 207)"
