loss,accuracy,val_loss,val_accuracy
0.7819333947976185,0.5177743434906006,0.705385386573602,0.47826087474823
0.3664288255494013,0.916537880897522,0.7889618147974429,0.5031055808067322
0.05097926851402294,0.9922720193862915,0.7128883803853338,0.5093167424201965
0.010970898916861373,0.9984543919563293,0.7950218819683383,0.5031055808067322
0.003906437280764904,1.0,0.7778644695045045,0.5279502868652344
0.0020615866060845174,1.0,0.7636825934700344,0.5341615080833435
0.0013501447822662556,1.0,0.7801168705365673,0.5403726696968079
0.00158962755149768,1.0,0.8156877682075737,0.5155279636383057
0.001101749469101475,1.0,0.8618344779340377,0.5155279636383057
0.0007833153084265946,1.0,0.950940896265255,0.5093167424201965
0.0005923665637492995,1.0,0.8912917627310901,0.5155279636383057
