,path,filename,x,y,z,t, total size 
152,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9049/ses-1/func/sub-9049_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9049_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
178,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9091/ses-2/func/sub-9091_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9091_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
310,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9087/ses-1/func/sub-9087_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9087_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
375,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9014/ses-2/func/sub-9014_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9014_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
432,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9036/ses-2/func/sub-9036_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9036_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
527,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9012/ses-1/func/sub-9012_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9012_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
599,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9067/ses-1/func/sub-9067_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9067_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
696,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9098/ses-1/func/sub-9098_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9098_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
711,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9040/ses-2/func/sub-9040_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9040_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,153," 89,117,145 "
0,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9035/ses-2/func/sub-9035_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9035_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,154," 89,699,610 "
23,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9088/ses-2/func/sub-9088_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9088_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,154," 89,699,610 "
127,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9064/ses-2/func/sub-9064_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9064_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,154," 89,699,610 "
