,algo,cv fold,metric,value
110,GaussianNB,0,score_time,45.300593852996826
111,GaussianNB,1,score_time,45.4553108215332
112,GaussianNB,2,score_time,48.03129577636719
113,GaussianNB,3,score_time,45.49559020996094
114,GaussianNB,4,score_time,51.0953106880188
115,GaussianNB,0,test_precision,0.5277777777777778
116,GaussianNB,1,test_precision,0.5252525252525253
117,GaussianNB,2,test_precision,0.5048543689320388
118,GaussianNB,3,test_precision,0.4791666666666667
119,GaussianNB,4,test_precision,0.5192307692307693
120,GaussianNB,0,test_recall,0.8507462686567164
121,GaussianNB,1,test_recall,0.7761194029850746
122,GaussianNB,2,test_recall,0.7761194029850746
123,GaussianNB,3,test_recall,0.696969696969697
124,GaussianNB,4,test_recall,0.8181818181818182
125,GaussianNB,0,test_accuracy,0.5307692307692308
126,GaussianNB,1,test_accuracy,0.5193798449612403
127,GaussianNB,2,test_accuracy,0.4883720930232558
128,GaussianNB,3,test_accuracy,0.4573643410852713
129,GaussianNB,4,test_accuracy,0.5193798449612403
130,GaussianNB,0,test_f1,0.6514285714285716
131,GaussianNB,1,test_f1,0.6265060240963856
132,GaussianNB,2,test_f1,0.611764705882353
133,GaussianNB,3,test_f1,0.5679012345679013
134,GaussianNB,4,test_f1,0.6352941176470589
135,GaussianNB,0,test_roc_auc,0.5206112295664534
136,GaussianNB,1,test_roc_auc,0.5090274434280212
137,GaussianNB,2,test_roc_auc,0.47676937891189214
138,GaussianNB,3,test_roc_auc,0.4516594516594517
139,GaussianNB,4,test_roc_auc,0.5122655122655123
140,SVM/Linear SVC,0,fit_time,102.47036385536194
141,SVM/Linear SVC,1,fit_time,105.29723906517029
142,SVM/Linear SVC,2,fit_time,97.36532258987427
143,SVM/Linear SVC,3,fit_time,106.33086585998535
144,SVM/Linear SVC,4,fit_time,103.76587295532227
145,SVM/Linear SVC,0,score_time,0.0
146,SVM/Linear SVC,1,score_time,0.0
147,SVM/Linear SVC,2,score_time,0.0
148,SVM/Linear SVC,3,score_time,0.0
149,SVM/Linear SVC,4,score_time,0.0
150,SVM/Linear SVC,0,test_precision,
151,SVM/Linear SVC,1,test_precision,
152,SVM/Linear SVC,2,test_precision,
153,SVM/Linear SVC,3,test_precision,
154,SVM/Linear SVC,4,test_precision,
155,SVM/Linear SVC,0,test_recall,
156,SVM/Linear SVC,1,test_recall,
157,SVM/Linear SVC,2,test_recall,
158,SVM/Linear SVC,3,test_recall,
159,SVM/Linear SVC,4,test_recall,
160,SVM/Linear SVC,0,test_accuracy,
161,SVM/Linear SVC,1,test_accuracy,
162,SVM/Linear SVC,2,test_accuracy,
163,SVM/Linear SVC,3,test_accuracy,
164,SVM/Linear SVC,4,test_accuracy,
165,SVM/Linear SVC,0,test_f1,
166,SVM/Linear SVC,1,test_f1,
167,SVM/Linear SVC,2,test_f1,
168,SVM/Linear SVC,3,test_f1,
169,SVM/Linear SVC,4,test_f1,
170,SVM/Linear SVC,0,test_roc_auc,
171,SVM/Linear SVC,1,test_roc_auc,
172,SVM/Linear SVC,2,test_roc_auc,
173,SVM/Linear SVC,3,test_roc_auc,
174,SVM/Linear SVC,4,test_roc_auc,
